area,area_code,area_name,year,DENS,MYE
Local Government Districts (LGD2014),N09000001,Antrim and Newtownabbey,2020,251.9,143756
Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2020,161.3,217232
Local Government Districts (LGD2014),N09000003,Belfast,2020,2553.1,342560
Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2020,73.2,144943
Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2020,122.1,151109
Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2020,41.2,117337
Local Government Districts (LGD2014),N09000007,Lisburn and Castlereagh,2020,291.3,146452
Local Government Districts (LGD2014),N09000008,Mid and East Antrim,2020,133.3,139443
Local Government Districts (LGD2014),N09000009,Mid Ulster,2020,81.8,148953
Local Government Districts (LGD2014),N09000010,"Newry, Mourne and Down",2020,112.2,181669
Local Government Districts (LGD2014),N09000011,Ards and North Down,2020,354.4,162056
